category,address,name,getName,getType,accessType,size,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,referenceCounter,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal
symbol,0x4078B0,None,.L004078B0,@branchlabel,None,None,None,0x4,0x78B0,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4078E4,None,.L004078E4,@branchlabel,None,None,None,0x4,0x78E4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407948,None,.L00407948,@branchlabel,None,None,None,0x4,0x7948,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4079E4,None,.L004079E4,@branchlabel,None,None,None,0x4,0x79E4,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x4079F0,None,.L004079F0,@branchlabel,None,None,None,0x4,0x79F0,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407A68,None,.L00407A68,@branchlabel,None,None,None,0x4,0x7A68,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x407A74,None,.L00407A74,@branchlabel,None,None,None,0x4,0x7A74,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407A90,None,.L00407A90,@branchlabel,None,None,None,0x4,0x7A90,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407B0C,None,.L00407B0C,@branchlabel,None,None,None,0x4,0x7B0C,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x407B18,None,.L00407B18,@branchlabel,None,None,None,0x4,0x7B18,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407B44,None,.L00407B44,@branchlabel,None,None,None,0x4,0x7B44,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407B6C,None,.L00407B6C,@branchlabel,None,None,None,0x4,0x7B6C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407BBC,None,.L00407BBC,@branchlabel,None,None,None,0x4,0x7BBC,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407C08,None,.L00407C08,@branchlabel,None,None,None,0x4,0x7C08,.text,True,False,True,False,7,None,False,False,False,False
symbol,0x407C1C,None,.L00407C1C,@branchlabel,None,None,None,0x4,0x7C1C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407C8C,None,.L00407C8C,@branchlabel,None,None,None,0x4,0x7C8C,.text,True,False,True,False,3,None,False,False,False,False
symbol,0x407CCC,None,.L00407CCC,@branchlabel,None,None,None,0x4,0x7CCC,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407D24,None,.L00407D24,@branchlabel,None,None,None,0x4,0x7D24,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407D98,None,.L00407D98,@branchlabel,None,None,None,0x4,0x7D98,.text,True,False,True,False,3,None,False,False,False,False
symbol,0x407E58,None,.L00407E58,@branchlabel,None,None,None,0x4,0x7E58,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407E78,None,.L00407E78,@branchlabel,None,None,None,0x4,0x7E78,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407E88,None,.L00407E88,@branchlabel,None,None,None,0x4,0x7E88,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407F18,None,.L00407F18,@branchlabel,None,None,None,0x4,0x7F18,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407F3C,None,.L00407F3C,@branchlabel,None,None,None,0x4,0x7F3C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407F48,None,.L00407F48,@branchlabel,None,None,None,0x4,0x7F48,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407FA0,None,.L00407FA0,@branchlabel,None,None,None,0x4,0x7FA0,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407FCC,None,.L00407FCC,@branchlabel,None,None,None,0x4,0x7FCC,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407FDC,None,.L00407FDC,@branchlabel,None,None,None,0x4,0x7FDC,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x408020,None,.L00408020,@branchlabel,None,None,None,0x4,0x8020,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40803C,None,.L0040803C,@branchlabel,None,None,None,0x4,0x803C,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x40809C,None,.L0040809C,@branchlabel,None,None,None,0x4,0x809C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4080F4,None,.L004080F4,@branchlabel,None,None,None,0x4,0x80F4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40812C,None,.L0040812C,@branchlabel,None,None,None,0x4,0x812C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x408144,None,.L00408144,@branchlabel,None,None,None,0x4,0x8144,.text,True,False,True,False,1,None,False,False,False,False
