category,address,name,getName,getType,accessType,size,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,referenceCounter,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal
symbol,0x493F5C,None,.L00493F5C,@branchlabel,None,None,None,0x4,0x93F5C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x493F8C,None,.L00493F8C,@branchlabel,None,None,None,0x4,0x93F8C,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x493FC8,None,.L00493FC8,@branchlabel,None,None,None,0x4,0x93FC8,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x49403C,None,.L0049403C,@branchlabel,None,None,None,0x4,0x9403C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x494068,None,.L00494068,@branchlabel,None,None,None,0x4,0x94068,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x49406C,None,.L0049406C,@branchlabel,None,None,None,0x4,0x9406C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4940D0,None,.L004940D0,@branchlabel,None,None,None,0x4,0x940D0,.text,True,False,True,False,4,None,False,False,False,False
symbol,0x494128,None,.L00494128,@branchlabel,None,None,None,0x4,0x94128,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x49417C,None,.L0049417C,@branchlabel,None,None,None,0x4,0x9417C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4941A8,None,.L004941A8,@branchlabel,None,None,None,0x4,0x941A8,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x49423C,None,.L0049423C,@branchlabel,None,None,None,0x4,0x9423C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x494254,None,.L00494254,@branchlabel,None,None,None,0x4,0x94254,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x494260,None,.L00494260,@branchlabel,None,None,None,0x4,0x94260,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x494290,None,.L00494290,@branchlabel,None,None,None,0x4,0x94290,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4942B8,None,.L004942B8,@branchlabel,None,None,None,0x4,0x942B8,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x49430C,None,.L0049430C,@branchlabel,None,None,None,0x4,0x9430C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x494338,None,.L00494338,@branchlabel,None,None,None,0x4,0x94338,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x494354,None,.L00494354,@branchlabel,None,None,None,0x4,0x94354,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x4943A4,None,.L004943A4,@branchlabel,None,None,None,0x4,0x943A4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4943F8,None,.L004943F8,@branchlabel,None,None,None,0x4,0x943F8,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x494424,None,.L00494424,@branchlabel,None,None,None,0x4,0x94424,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4944B8,None,.L004944B8,@branchlabel,None,None,None,0x4,0x944B8,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4944D8,None,.L004944D8,@branchlabel,None,None,None,0x4,0x944D8,.text,True,False,True,False,11,None,False,False,False,False
symbol,0x4944DC,None,.L004944DC,@branchlabel,None,None,None,0x4,0x944DC,.text,True,False,True,False,10,None,False,False,False,False
symbol,0x4944F4,None,func_004944F4,@function,None,None,0x9D8,0x9D8,0x944F4,.text,True,False,True,False,27,None,False,True,False,True
symbol,0x49452C,None,.L0049452C,@branchlabel,None,None,None,0x4,0x9452C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x49455C,None,.L0049455C,@branchlabel,None,None,None,0x4,0x9455C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x494598,None,.L00494598,@branchlabel,None,None,None,0x4,0x94598,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x49459C,None,.L0049459C,@branchlabel,None,None,None,0x4,0x9459C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4945C4,None,.L004945C4,@branchlabel,None,None,None,0x4,0x945C4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4945DC,None,.L004945DC,@branchlabel,None,None,None,0x4,0x945DC,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4946A4,None,.L004946A4,@branchlabel,None,None,None,0x4,0x946A4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4946FC,None,.L004946FC,@branchlabel,None,None,None,0x4,0x946FC,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x494754,None,.L00494754,@branchlabel,None,None,None,0x4,0x94754,.text,True,False,True,False,2,None,False,False,False,False
