category,address,name,getName,getNameEnd,userDeclaredType,autodetectedType,getType,accessType,userDeclaredSize,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,referenceCounter,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal,gotIndex,firstLoAccess,isAutogeneratedPad,isElfNotype
symbol,0x4061CC,None,.L004061CC,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x61CC,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x4061F8,None,func_004061F8,None,None,SymbolSpecialType.function,@function,None,None,0x148,0x148,0x61F8,.text,True,False,True,False,1,None,False,True,False,True,None,3232,False,False
symbol,0x406284,None,.L00406284,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6284,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x4062A0,None,.L004062A0,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x62A0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x406330,None,.L00406330,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6330,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x406340,None,func_00406340,None,None,SymbolSpecialType.function,@function,None,None,0x344,0x344,0x6340,.text,True,False,True,False,3,None,False,True,False,True,None,628,False,False
symbol,0x4063B4,None,.L004063B4,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x63B4,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x4063E0,None,.L004063E0,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x63E0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40640C,None,.L0040640C,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x640C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40643C,None,.L0040643C,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x643C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40645C,None,.L0040645C,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x645C,.text,True,False,True,False,4,None,False,False,False,False,None,None,False,False
